Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Department Name,Supplier Code,Supplier Qualifications,Quantity, Unit Price , Total Price ,Classification Codes,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title
9/5/2012,2012-2013,,4500149558,NON-IT Goods,,Formal Competitive,"Corrections and Rehabilitation, Department of",48199,CA-SB,40,0.6,24,50405625,50405625,Jalapeno peppers,50405600,Peppers,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
10/18/2012,2012-2013,,4500156192,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1327540,CA-MB CA-SB,1,"12,587.05","12,587.05",50301541,50301541,Ida red apples,50301500,Apples,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products
10/17/2012,2012-2013,,4500156124,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,45803,CA-MB CA-SB,1,199,199,55101506,55101506,Magazines,55101500,Printed publications,55100000,Printed media,55000000,Published Products
10/30/2012,2012-2013,,S2556056,NON-IT Goods,,Informal Competitive,"Parks & Recreation, Department of",1746707,,1000,4.95,"4,950.00",10121505,10121505,Hay,10121500,Livestock feed,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
11/14/2012,2012-2013,,4500159228,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1065902,,14686.5,1,"14,686.50",50201706,50201706,Coffee,50201700,Coffee and tea,50200000,Beverages,50000000,Food Beverage and Tobacco Products
11/27/2012,2012-2013,,4500160629,NON-IT Goods,,State Programs,"Corrections and Rehabilitation, Department of",1008361,,1,"214,788.00","214,788.00",56101532,56101532,Furniture set,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
11/30/2012,2012-2013,,11OAL07,NON-IT Goods,,NCB,"Administrative Law, Office of",1001493,,1,"5,000.00","5,000.00",55101524,55101524,Reference books,55101500,Printed publications,55100000,Printed media,55000000,Published Products
5/14/2014,2013-2014,,W0000828,NON-IT Goods,,Fair and Reasonable,"Veterans Affairs, Department of",47767,CA-MB CA-SB,1,"3,593.00","3,593.00",53102708,53102708,Nurses uniforms,53102700,Uniforms,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
6/23/2013,2012-2013,5-08-89-15,4500187456,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"15,000.00","15,000.00",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
11/15/2012,2012-2013,,565D2005,NON-IT Goods,,State Programs,"Highway Patrol, California",1065902,,4,351,"1,404.00",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
6/10/2014,2013-2014,,4500237320,NON-IT Goods,,Informal Competitive,Correctional Health Care Services,1114862,,1,"13,344.00","13,344.00",14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products
6/29/2013,2012-2013,5-08-89-15,4500188538,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"20,000.00","20,000.00",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
5/6/2014,2013-2014,1-11-87-17C,235,NON-IT Goods,,Statewide Contract,"Fish and Wildlife, Department of",1752282,,6000,0.57,"3,420.00",10121703,10121703,Fish food flakes,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
12/3/2012,2012-2013,,4500161419,NON-IT Goods,,State Programs,Correctional Health Care Services,1065902,,4,359,"1,436.00",56101522,56101522,Arm chair,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
12/28/2012,2012-2013,1-07-97-32,9.91E+11,NON-IT Goods,,Statewide Contract,"Transportation, Department of",1028377,,1,"9,518.47","9,518.47",55121710,55121710,Traffic signs,55121700,Signage,55120000,Signage and accessories,55000000,Published Products
12/14/2012,2012-2013,,SA12 9007,NON-IT Services,Personal Services,Fair and Reasonable,Air Resources Board,1740264,,1,129.44,129.44,82101504,82101504,Newspaper advertising,82101500,Print advertising,82100000,Advertising,82000000,Editorial and Design and Graphic and Fine Art Services
12/19/2012,2012-2013,,2012-0610,NON-IT Goods,,SB/DVBE Option,"Equalization, Board of",1378200,CA-MB CA-SB,1,"13,372.38","13,372.38",14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products
1/25/2013,2012-2013,,12-506-0054,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",12205,CA-SB,180,1.6,288,50405312,50405312,Red onions,50405300,Onions,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
1/31/2013,2012-2013,,1613000145,NON-IT Goods,,SB/DVBE Option,"Transportation, Department of",1553400,,1,"199,172.20","199,172.20",55121734,55121734,Sign sheeting material,55121700,Signage,55120000,Signage and accessories,55000000,Published Products
1/16/2013,2012-2013,,2012-0754,NON-IT Goods,,Services are specifically exempt by policy,"Equalization, Board of",1747193,,1,"4,630.00","4,630.00",82121506,82121506,Publication printing,82121500,Printing,82120000,Reproduction services,82000000,Editorial and Design and Graphic and Fine Art Services
2/6/2013,2012-2013,5-08-89-15,4500169049,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"7,570.78","7,570.78",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
2/12/2013,2012-2013,5-08-89-15,4500169660,NON-IT Goods,,Statewide Contract,Correctional Health Care Services,1000709,,40000,1,"40,000.00",50301518,50301518,Delicious apples,50301500,Apples,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products
2/2/2013,2012-2013,5-08-89-15,4500168643,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000709,,1,"7,246.49","7,246.49",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
3/11/2013,2012-2013,1-12-75-04,3168445,NON-IT Goods,,Statewide Contract,"General Services, Department of",1744915,,1,"30,260.00","30,260.00",44121504,44121504,Window envelopes,44121500,Mailing supplies,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
3/18/2013,2012-2013,,4500173937,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1019718,,1,"33,000.00","33,000.00",50402001,50402001,Broccolini,50402000,Broccoli,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
3/20/2013,2012-2013,,4500174452,NON-IT Goods,,SB/DVBE Option,"Corrections and Rehabilitation, Department of",11350,CA-SB,20220.8,1,"20,220.80",50121537,50121537,Frozen fish,50121500,Fish,50120000,Seafood,50000000,Food Beverage and Tobacco Products
3/28/2013,2012-2013,,4500128383,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1065902,,1000,50.5,"50,500.00",56101508,56101508,Mattresses or sleep sets,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
4/23/2013,2012-2013,1-11-87-17C,293,NON-IT Goods,,Statewide Contract,"Fish and Wildlife, Department of",1752282,,1,"13,293.20","13,293.20",10121702,10121702,Fish food pellets,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
4/13/2013,2012-2013,,4500177246,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1006881,,1,"6,448.08","6,448.08",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
4/22/2013,2012-2013,,61300000279,NON-IT Goods,,State Programs,"Transportation, Department of",1065902,,12,347,"4,164.00",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
4/12/2013,2012-2013,,4500177062,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,25415,CA-MB CA-SB,7,20.17,141.19,44121604,44121604,Stamps,44121600,Desk supplies,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
4/8/2013,2012-2013,SBP01336,W1226,NON-IT Goods,,WSCA/Coop,"Justice, Department of",1459140,,1,6.05,6.05,83101605,83101605,Gas facility charge,83101600,Oil and gas utilities,83100000,Utilities,83000000,Public Utilities and Public Sector Related Services
5/21/2013,2012-2013,,P1201020,NON-IT Goods,,Fair and Reasonable,Franchise Tax Board,2319,CA-SB CA-SBE,1,470,470,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
5/23/2013,2012-2013,,4500198175,NON-IT Goods,,SB/DVBE Option,"Water Resources, Department of",15228,CA-MB CA-SB,24,9.34,224.16,44121704,44121704,Ball point pens,44121700,Writing instruments,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
5/17/2013,2012-2013,,S2925176,NON-IT Goods,,Informal Competitive,"Parks & Recreation, Department of",23730,CA-SB,600,32,"19,200.00",14111704,14111704,Toilet tissue,14111700,Personal paper products,14110000,Paper products,14000000,Paper Materials and Products
5/22/2013,2012-2013,,3PA2C806G,NON-IT Goods,,Formal Competitive,"Forestry and Fire Protection, Department of",13935,,1,"7,028.76","7,028.76",15101506,15101506,Gasoline or Petrol,15101500,Petroleum and distillates,15100000,Fuels,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
